,H,B,q,R_int,gamma,Su,sf_lower,sf_upper
0,8,4,10,1.0,16,100,4.651,4.861
1,8,4,10,1.0,16,75,3.489,3.638
2,8,4,10,1.0,16,50,2.326,2.423
3,8,4,10,1.0,16,25,1.163,1.215
4,8,4,10,1.0,14,100,5.234,5.510
5,8,4,10,1.0,14,75,3.925,4.114
6,8,4,10,1.0,14,50,2.624,2.755
7,8,4,10,1.0,14,25,1.312,1.378
8,8,4,10,0.8,18,100,4.176,4.348
9,8,4,10,0.8,18,75,3.125,3.271
10,8,4,10,0.8,18,50,2.088,2.174
11,8,4,10,0.8,18,25,1.044,1.087
12,8,4,10,0.8,16,100,4.651,4.846
13,8,4,10,0.8,16,75,3.489,3.638
14,8,4,10,0.8,16,50,2.326,2.423
15,8,4,10,0.8,16,25,1.163,1.215
16,8,4,10,0.8,14,100,5.248,5.510
17,8,4,10,0.8,14,75,3.963,4.114
18,8,4,10,0.8,14,50,2.624,2.755
19,8,4,10,0.8,14,25,1.317,1.378
20,8,4,10,0.6,18,100,4.163,4.348
21,8,4,10,0.6,18,75,3.134,3.271
22,8,4,10,0.6,18,50,2.082,2.174
23,8,4,10,0.6,18,25,1.041,1.087
24,8,4,10,0.6,16,100,4.651,4.861
25,8,4,10,0.6,16,75,3.495,3.638
26,8,4,10,0.6,16,50,2.326,2.431
27,8,4,10,0.6,16,25,1.163,1.215
28,8,4,10,0.6,14,100,5.272,5.510
29,8,4,10,0.6,14,75,3.963,4.114
30,8,4,10,0.6,14,50,2.638,2.755
31,8,4,10,0.6,14,25,1.312,1.378
32,8,4,0,1.0,18,100,4.452,4.671
33,8,4,0,1.0,18,75,3.339,3.484
34,8,4,0,1.0,18,50,2.226,2.335
35,8,4,0,1.0,18,25,1.113,1.168
36,8,4,0,1.0,16,100,5.003,5.227
37,8,4,0,1.0,16,75,3.761,3.927
38,8,4,0,1.0,16,50,2.501,2.613
39,8,4,0,1.0,16,25,1.251,1.307
40,8,4,0,1.0,14,100,5.726,5.980
41,8,4,0,1.0,14,75,4.306,4.480
42,8,4,0,1.0,14,50,2.863,2.990
43,8,4,0,1.0,14,25,1.432,1.495
44,8,4,0,0.8,18,100,4.466,4.671
45,8,4,0,0.8,18,75,3.350,3.484
46,8,4,0,0.8,18,50,2.233,2.335
47,8,4,0,0.8,18,25,1.117,1.168
48,8,4,0,0.8,16,100,5.003,5.227
49,8,4,0,0.8,16,75,3.758,3.941
50,8,4,0,0.8,16,50,2.501,2.613
51,8,4,0,0.8,16,25,1.251,1.307
52,8,4,0,0.8,14,100,5.690,5.980
53,8,4,0,0.8,14,75,4.271,4.480
54,8,4,0,0.8,14,50,2.845,2.990
55,8,4,0,0.8,14,25,1.422,1.495
56,8,4,0,0.6,18,100,4.459,4.671
57,8,4,0,0.6,18,75,3.344,3.484
58,8,4,0,0.6,18,50,2.230,2.335
59,8,4,0,0.6,18,25,1.115,1.168
60,8,4,0,0.6,16,100,5.003,5.227
61,8,4,0,0.6,16,75,3.758,3.941
62,8,4,0,0.6,16,50,2.501,2.613
63,8,4,0,0.6,16,25,1.251,1.307
64,8,4,0,0.6,14,100,5.690,5.980
65,8,4,0,0.6,14,75,4.271,4.480
66,8,4,0,0.6,14,50,2.845,2.990
67,8,4,0,0.6,14,25,1.422,1.495
68,8,2,20,1.0,18,100,4.252,4.440
69,8,2,20,1.0,18,75,3.189,3.332
70,8,2,20,1.0,18,50,2.126,2.220
71,8,2,20,1.0,18,25,1.063,1.110
72,8,2,20,1.0,16,100,4.714,4.922
73,8,2,20,1.0,16,75,3.534,3.693
74,8,2,20,1.0,16,50,2.357,2.461
75,8,2,20,1.0,16,25,1.180,1.231
76,8,2,20,1.0,14,100,5.293,5.519
77,8,2,20,1.0,14,75,3.966,4.140
78,8,2,20,1.0,14,50,2.647,2.759
79,8,2,20,1.0,14,25,1.323,1.380
80,8,2,20,0.8,18,100,4.252,4.444
81,8,2,20,0.8,18,75,3.189,3.332
82,8,2,20,0.8,18,50,2.126,2.222
83,8,2,20,0.8,18,25,1.063,1.111
84,8,2,20,0.8,16,100,4.706,4.922
85,8,2,20,0.8,16,75,3.540,3.696
86,8,2,20,0.8,16,50,2.353,2.461
87,8,2,20,0.8,16,25,1.178,1.231
88,8,2,20,0.8,14,100,5.293,5.519
89,8,2,20,0.8,14,75,3.966,4.140
90,8,2,20,0.8,14,50,2.647,2.759
91,8,2,20,0.8,14,25,1.323,1.380
92,8,2,20,0.6,18,100,4.252,4.440
93,8,2,20,0.6,18,75,3.189,3.332
94,8,2,20,0.6,18,50,2.126,2.220
95,8,2,20,0.6,18,25,1.063,1.110
96,8,2,20,0.6,16,100,4.714,4.926
97,8,2,20,0.6,16,75,3.529,3.696
98,8,2,20,0.6,16,50,2.353,2.463
99,8,2,20,0.6,16,25,1.178,1.232
100,8,2,20,0.6,14,100,5.293,5.519
101,8,2,20,0.6,14,75,3.966,4.140
102,8,2,20,0.6,14,50,2.642,2.759
103,8,2,20,0.6,14,25,1.323,1.380
104,8,2,10,1.0,18,100,4.508,4.732
105,8,2,10,1.0,18,75,3.399,3.550
106,8,2,10,1.0,18,50,2.254,2.366
107,8,2,10,1.0,18,25,1.127,1.183
108,8,2,10,1.0,16,100,5.025,5.277
109,8,2,10,1.0,16,75,3.792,3.958
110,8,2,10,1.0,16,50,2.513,2.639
111,8,2,10,1.0,16,25,1.256,1.319
112,8,2,10,1.0,14,100,5.740,5.975
113,8,2,10,1.0,14,75,4.286,4.480
114,8,2,10,1.0,14,50,2.861,2.988
115,8,2,10,1.0,14,25,1.430,1.494
116,8,2,10,0.8,18,100,4.505,4.737
117,8,2,10,0.8,18,75,3.399,3.547
118,8,2,10,0.8,18,50,2.253,2.369
119,8,2,10,0.8,18,25,1.127,1.184
120,8,2,10,0.8,16,100,5.025,5.285
121,8,2,10,0.8,16,75,3.786,3.958
122,8,2,10,0.8,16,50,2.513,2.642
123,8,2,10,0.8,16,25,1.256,1.321
124,8,2,10,0.8,14,100,5.722,5.975
125,8,2,10,0.8,14,75,4.293,4.480
126,8,2,10,0.8,14,50,2.861,2.988
127,8,2,10,0.8,14,25,1.430,1.494
128,8,2,10,0.6,18,100,4.505,4.737
129,8,2,10,0.6,18,75,3.399,3.550
130,8,2,10,0.6,18,50,2.253,2.369
131,8,2,10,0.6,18,25,1.126,1.184
132,8,2,10,0.6,16,100,5.032,5.285
133,8,2,10,0.6,16,75,3.792,3.958
134,8,2,10,0.6,16,50,2.516,2.642
135,8,2,10,0.6,16,25,1.258,1.321
136,8,2,10,0.6,14,100,5.722,5.975
137,8,2,10,0.6,14,75,4.293,4.480
138,8,2,10,0.6,14,50,2.861,2.988
139,8,2,10,0.6,14,25,1.430,1.494
140,8,2,0,1.0,18,100,4.832,5.065
141,8,2,0,1.0,18,75,3.640,3.796
142,8,2,0,1.0,18,50,2.416,2.532
143,8,2,0,1.0,18,25,1.208,1.266
144,8,2,0,1.0,16,100,5.449,5.705
145,8,2,0,1.0,16,75,4.085,4.270
146,8,2,0,1.0,16,50,2.725,2.852
147,8,2,0,1.0,16,25,1.362,1.426
148,8,2,0,1.0,14,100,6.227,6.516
149,8,2,0,1.0,14,75,4.651,4.880
150,8,2,0,1.0,14,50,3.113,3.258
151,8,2,0,1.0,14,25,1.557,1.629
152,8,2,0,0.8,18,100,4.832,5.065
153,8,2,0,0.8,18,75,3.640,3.796
154,8,2,0,0.8,18,50,2.416,2.532
155,8,2,0,0.8,18,25,1.208,1.266
156,8,2,0,0.8,16,100,5.449,5.689
157,8,2,0,0.8,16,75,4.085,4.270
158,8,2,0,0.8,16,50,2.725,2.844
159,8,2,0,0.8,16,25,1.362,1.422
160,8,2,0,0.8,14,100,6.227,6.516
161,8,2,0,0.8,14,75,4.651,4.884
162,8,2,0,0.8,14,50,3.113,3.258
163,8,2,0,0.8,14,25,1.557,1.629
164,8,2,0,0.6,18,100,4.832,5.065
165,8,2,0,0.6,18,75,3.634,3.796
166,8,2,0,0.6,18,50,2.416,2.532
167,8,2,0,0.6,18,25,1.208,1.266
168,8,2,0,0.6,16,100,5.449,5.689
169,8,2,0,0.6,16,75,4.085,4.270
170,8,2,0,0.6,16,50,2.725,2.844
171,8,2,0,0.6,16,25,1.362,1.422
172,8,2,0,0.6,14,100,6.227,6.508
173,8,2,0,0.6,14,75,4.651,4.884
174,8,2,0,0.6,14,50,3.113,3.254
175,8,2,0,0.6,14,25,1.557,1.627
176,6,20,20,1.0,18,100,4.193,4.321
177,6,20,20,1.0,18,75,3.116,3.240
178,6,20,20,1.0,18,50,2.097,2.161
179,6,20,20,1.0,18,25,1.048,1.080
180,6,20,20,1.0,16,100,4.623,4.760
181,6,20,20,1.0,16,75,3.468,3.575
182,6,20,20,1.0,16,50,2.312,2.380
183,6,20,20,1.0,16,25,1.156,1.190
184,6,20,20,1.0,14,100,5.125,5.316
185,6,20,20,1.0,14,75,3.841,3.995
186,6,20,20,1.0,14,50,2.576,2.658
187,6,20,20,1.0,14,25,1.288,1.329
188,6,20,20,0.8,18,100,4.183,4.321
189,6,20,20,0.8,18,75,3.141,3.240
190,6,20,20,0.8,18,50,2.090,2.161
191,6,20,20,0.8,18,25,1.045,1.080
192,6,20,20,0.8,16,100,4.627,4.764
193,6,20,20,0.8,16,75,3.470,3.575
194,6,20,20,0.8,16,50,2.314,2.382
195,6,20,20,0.8,16,25,1.157,1.191
196,6,20,20,0.8,14,100,5.125,5.316
197,6,20,20,0.8,14,75,3.865,3.995
